name,Sq,S,lambda,Mhat,delta,phi1,phi2,fpp0,-thetap0,final_loss
Baseline,0.6,0.08,0.4,3.2309368884763784e-06,2.5,0.01,0.01,-0.2505556046962738,2.0580053329467773,0.0008901861147023737
Low_Sq_0p2,0.2,0.08,0.4,3.2309368884763784e-06,2.5,0.01,0.01,-0.25202181935310364,2.0487172603607178,0.001529178349301219
High_Sq_1p2,1.2,0.08,0.4,3.2309368884763784e-06,2.5,0.01,0.01,-0.2513744533061981,2.0495669841766357,0.001081616384908557
VeryHigh_Sq_2p0,2.0,0.08,0.4,3.2309368884763784e-06,2.5,0.01,0.01,-0.2516878843307495,2.046812057495117,0.0013189991004765034
No_Suction_S_0,0.6,0.0,0.4,3.2309368884763784e-06,2.5,0.01,0.01,-0.25040674209594727,2.049139976501465,0.0008749723201617599
High_Suction_S_0p16,0.6,0.16,0.4,3.2309368884763784e-06,2.5,0.01,0.01,-0.25191056728363037,2.047663688659668,0.0014372039586305618
VeryHigh_Suction_S_0p32,0.6,0.32,0.4,3.2309368884763784e-06,2.5,0.01,0.01,-0.2504749596118927,2.0482211112976074,0.0008958145044744015
Low_lambda_0p1,0.6,0.08,0.1,3.2309368884763784e-06,2.5,0.01,0.01,-0.2503192126750946,2.051215171813965,0.0007706182659603655
High_lambda_0p8,0.6,0.08,0.8,3.2309368884763784e-06,2.5,0.01,0.01,-0.25043556094169617,2.0517959594726562,0.0007686316967010498
Weak_M_B0_0p2,0.6,0.08,0.4,2.0193355552977365e-07,2.5,0.01,0.01,-0.2505234479904175,2.0496482849121094,0.00084049062570557
Strong_M_B0_1p6,0.6,0.08,0.4,1.2923747553905513e-05,2.5,0.01,0.01,-0.250482439994812,2.0488531589508057,0.0008784178062342107
VeryStrong_M_B0_3p0,0.6,0.08,0.4,4.543504999419906e-05,2.5,0.01,0.01,-0.25042402744293213,2.0529348850250244,0.0007219277322292328
Low_delta_1p2,0.6,0.08,0.4,3.2309368884763784e-06,1.1999999999999886,0.01,0.01,-0.2514615058898926,2.049542188644409,0.0011133493389934301
Mid_delta_2p5,0.6,0.08,0.4,3.2309368884763784e-06,2.5,0.01,0.01,-0.2504773736000061,2.051121950149536,0.0007478743209503591
High_delta_5p0,0.6,0.08,0.4,3.2309368884763784e-06,5.0,0.01,0.01,-0.25189125537872314,2.0517687797546387,0.0013116956688463688
